transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xc5352423b9471e4eabb8f92962c0449d3dc3899fc9309257e35882a619d15f78,0,0x676494743d5df37250b8db3e23f052965f03f5c1af59dea49aa0cc78eeda719c,65327,221120,221120,0x90ab39213f1d947e2a3b8936ac37dca2556a9ece,0xb07430e930b017d94555dbe7a33c21653b04454b8a2e8c95aa5ae0a234e7a549,,1123078047007,,,,
0x2eb8389429099e3b89eb776bbe2679b469e9fa5a6776b32758c0be0171c8b819,1,0x0b14125ff9fdb36bef8a566c1a3cf6aa1356a366b2f42fdcc252466a2240aea8,65407,311272,267886,0xed5868f9ec0651f5a9797fad4716c1269b776730,0x2d123e26edfcb88847de2450a1b88c772ff75a9e3506bb8ee640e42591223a53,,55584765580,,,,
0x4f601e205165a4761c1d5b39eb664e2e8d0854f802eed47d4d2a6cad8a398fba,1,0xd701ee10d217e4d9c15fd5959cad17d10af37b9d0db14e1f058b862421708608,65826,311272,267886,0x0fa647372d8535054f3a9c269f1c5d8299fd0bf6,0x630a7b26841f0ed15403f2e620e2e17ee210b562ada8224e127f50f788bffd7d,,59596749051,,,,
0x90205b3e707464799b49f04a4687b7a76103f805c4afbc5b0b8363c842a408c0,0,0xbcbd06ebd04efbb02546a2a5979e11def0f9cb8274f671405fa2aeead9cad6e1,65856,267886,267886,0x305e14e760862d558d50271c353d388d094a6e8f,0x4857856525f013cd21a0db1d59fc87d3b9c8c726503ca1ab4cc1872a81ed431f,,54778611764,,,,
0xb886c66ed12571bdc24329bb653f193e51e2677f832166d1afdcfa4ad247bf23,0,0x227c06e4e12f5b81564e3eab511705a0e5ef456dcdd2b88f24e17522dddd09c2,65882,267886,267886,0x1e91bbd6bf9a7cbfd8da173162012512cd32bc56,0xce8403fd6593d1eb554d0d2d7f6f70d4b212f87a719728a139d959a4c7c1c846,,57806172251,,,,
0x681d06fa9196e08dd62ad5795235e28733c4d8295307d114191ddddc6658a14f,0,0x910c14ecbe7ea2ca292296037ad5d299dbcb2a2eb359ac773fa433d233e966a4,65894,267886,267886,0xcac7000c7dbaa2e33af15325af5d435e011c7bdd,0x8bf38384ff0c141cc0e16246d5e2c5617e1ae42d04160af055ce55a8ef7ab491,,57355453647,,,,
0x58e586c7941f40ae1ad518bbd5ffe4e7bbc3197ecf691f49f103120caf16151a,0,0x5869b300f508cab35d32219fefa17db4ba8f93f155d9b0f64ecc63ae10d2038e,65952,408787,408787,0x17728339e98e8ecc37d83701d2686fde434664aa,0x4f00e7ef0e223c277e66f38a261365d307fada69d681251525d4e9cd4336c498,,59343429956,,,,
0x8478eedb4b0a7309de241b4da8311c6e0b91405bd4cd2739aba2a40a9e85531b,0,0x80cb4a1f7d35cad112c1f035a5f31ccf52b450227fa6754a73a7d4f7b9cdf30d,66126,761357,761357,0x5fe5b7546d1628f7348b023a0393de1fc825a4fd,0xd8184e5fba80c51cee256f4e6479a176a7434f6c9a3cd4b67c0777a55b3c6395,,57935965411,,,,
0x11eb3af1add29a8c18518436fd6bdbe2901a4a66d7479ebe2988e6c25d9d813b,1,0x4823b4a52e889d9bb4860fba9ee41b69907dbe1d703f47264a08ef8442dcbca4,66156,415315,394315,0x02aeac9ca07bc56f37d5ec61b28a3dffd7cff0a3,0xa31e1b17e2e7c429dba37e08098ba3e5a2ae7940dccdbdd1cf8cb2fa194f554e,,56975150005,,,,
0x0b72a39c4632cfd7597c2f8a72c20a1251750fb7dc6d267f0d30fe898cdf8f10,0,0xc2788ab09a3b0464019df2abc09e5ba9e869c53ef57628be8670525659befc48,66173,49243,49243,0xa18d7182d5935578958a07fd7e9d062ddd418761,0xad9e9c791eea187767d82554661ce78b105969c4e5d949fe8fafc78b7a9f8565,,56758379035,,,,
